word,freq
unbefristet,2
Ursula,4
Uwe,3
v,1
V,2
Vanina,2
ver,1
verbeamtet,1
Verena,2
VERPFLICHTET,1
Victoria,2
vielleicht,1
Vika,2
voll,1
W,5
wegen,2
Wendula,1
Widukind,1
Willi,2
wiMi,2
WiMi,2
wirklich,2
Wissenschaftlerin,3
Wolfgang,2
wolle,1
Yasmin,1
Yusuf,1
Yvonne,1
ziemlich,4
zufrieden,1
zuversichtlich,1
